Node ID,Network (1) X,Network (1) Y,Network (1) Z,Louvain Community,Degree,Weighted Degree,Community Leaders Filter,Betweenness Centrality,Closeness Centrality,Eccentricity,Clustering Coefficient,PageRank
HIBADH,4.8708515167236328,-0.72591513395309448,-1.481871485710144,Community 7,39,39,0,0.33007299900054932,0.94320237636566162,11,0,0.13142024459689319
KLHL8,0.76001143455505371,0.24999506771564484,-1.3228895664215088,Community 2,13,13,0,0.10072559118270874,0.87448561191558838,11.5,0,0.035493520902337282
DKK1,4.0637741088867188,2.0410213470458984,8.2610750198364258,Community 0,222,224,1,1,0.96680426597595215,9,4.0764746647099587E-05,1
SCGB3A2,4.2830471992492676,2.2495784759521484,7.8691205978393555,Community 0,1,1,0,0,0.77591454982757568,10,0,0.0055227123077860214
LRRN3,-2.1739127635955811,-1.6817044019699097,-8.8777894973754883,Community 72,17,18,0,0.053215894848108292,0.67189741134643555,12.5,0,0.08215787471443782
TOM1L2,-2.2523863315582275,-1.7328757047653198,-9.0545139312744141,Community 72,1,1,0,0,0.57379305362701416,13.5,0,0.0056017489973535055
HLA-DPA1,-3.0304851531982422,-8.6760435104370117,0.74665731191635132,Community 5,14,14,0,0.033135280013084412,0.74228602647781372,9.5,0,0.048470270104914261
EML2,-2.4627861976623535,-5.9110913276672363,2.4413752555847168,Community 5,2,2,0,0.0050018485635519028,0.67150419950485229,10.5,0,0.0078061296959067283
CPA4,-5.775479793548584,3.1737866401672363,3.6822857856750488,Community 17,30,31,1,0.20229409635066986,0.90205174684524536,10,0,0.11151598025753552
LOC145694,-6.3402314186096191,3.1454579830169678,4.1885128021240234,Community 17,2,2,0,0,0.77844107151031494,10.5,0,0.0078776841052226477
MUC6,9.5470085144042969,-10.803523063659668,9.7347402572631836,Community 1,1,1,0,0,0.0011179557768628001,3,0,0.0073603911210910963
R3HDM4,9.5044546127319336,-10.833271026611328,9.7479038238525391,Community 1,2,2,0,6.0511115407280158E-06,0.0016769336070865393,2,0,0.013324187305000007
TMEM35A,4.4871516227722168,1.6767579317092896,7.960207462310791,Community 0,1,1,0,0,0.77591454982757568,10,0,0.0055227123077860214
PROSER2,-1.2764322757720947,0.68948954343795776,-1.0648951530456543,Community 2,30,30,0,0.081222854554653168,0.882964015007019,10.5,0,0.085071637566704328
CIC,-1.6131092309951782,0.69899898767471313,-1.0773658752441406,Community 2,1,1,0,0,0.72097259759902954,11.5,0,0.0041318513248758256
CPT1A,-5.7698884010314941,5.5690574645996094,1.8773456811904907,Community 34,6,6,0,0.016283540055155754,0.68712574243545532,11,0,0.025967694424696455
TNNT3,-3.6395831108093262,3.608649730682373,6.3544316291809082,Community 34,2,2,0,0.009200110100209713,0.71921026706695557,10,0,0.008008227174442363
TUFT1,-1.8022137880325317,4.249730110168457,1.4019449949264526,Community 34,23,25,0,0.10888611525297165,0.83275878429412842,11.5,0,0.0934529474010734
ITFG1,-1.9118412733078003,4.5494165420532227,1.4583394527435303,Community 34,1,1,0,0,0.68714630603790283,12.5,0,0.0048955902133231812
CCL25,-0.2384440153837204,1.3670556545257568,10.301494598388672,Community 48,33,33,0,0.13428807258605957,0.88032221794128418,10,0.001893939393939394,0.092943825661705809
AZU1,0.32489323616027832,-0.84551852941513062,7.1813325881958008,Community 49,4,4,0,0.021110512316226959,0.81388753652572632,9,0,0.012066497246453856
SPG11,6.355257511138916,6.8659486770629883,-2.38924241065979,Community 3,31,32,1,0.19527238607406616,0.81397408246994019,10,0,0.12736275877172026
FUT3,6.7911462783813477,1.8812686204910278,0.2814728319644928,Community 52,6,6,0,0.029378751292824745,0.7237236499786377,11,0,0.022116602682734833
KCTD2,-11.404051780700684,-3.1971993446350098,6.0396270751953125,Community 13,12,12,0,0.038805775344371796,0.70162028074264526,11,0,0.0618722255880733
CCL24,-11.518440246582031,-3.3026783466339111,6.0170769691467285,Community 13,1,1,0,0,0.59533071517944336,12,0,0.0061020644509590287
CAPRIN2,0.48528414964675903,1.2179781198501587,-1.2735095024108887,Community 27,22,22,0,0.068637147545814514,0.83230578899383545,10.5,0,0.062019798017216257
LINS1,0.56203031539916992,1.3630284070968628,-1.4834911823272705,Community 27,1,1,0,0,0.68683785200119019,11.5,0,0.0041191546931475193
CD96,-1.6606484651565552,-11.981327056884766,3.9287824630737305,Community 8,5,5,0,0.016434213146567345,0.6316571831703186,12,0,0.023169151987129457
PDSS2,-0.95719081163406372,-9.0243320465087891,2.8504528999328613,Community 8,8,8,0,0.04555458202958107,0.74926543235778809,11,0,0.026613120149312892
BOD1L1,-10.909089088439941,-1.5815476179122925,-0.16249097883701324,Community 13,11,11,0,0.050096545368433,0.71079039573669434,11.5,0,0.04936090646654636
ZNF235,-11.075411796569824,-1.6411157846450806,-0.20019575953483582,Community 13,1,1,0,0,0.60191982984542847,12.5,0,0.0055402688616788438
TRMT10B,-1.2615883350372314,0.6954876184463501,-2.5599193572998047,Community 2,20,21,0,0.17790630459785461,0.90578997135162354,10.5,0,0.064273181054948489
WDR74,-1.6103125810623169,1.4585497379302979,-1.116077184677124,Community 27,3,3,0,0.00983668677508831,0.79745650291442871,11.5,0,0.0093046887632761161
TAL1,-0.53416919708251953,0.067843161523342133,0.33538860082626343,Community 27,14,14,0,0.064794696867465973,0.86931818723678589,10.5,0,0.041246864604174684
SMAD1,0.22225020825862885,1.423728346824646,-1.0025514364242554,Community 27,3,3,0,0.0039078076370060444,0.76807230710983276,10,0,0.0093549884079731378
CD3G,0.44351053237915039,-5.66352653503418,5.0295696258544922,Community 4,3,3,0,0.010531959123909473,0.68949979543685913,10,0,0.011244940571303279
BIN1,0.48687839508056641,-5.4305825233459473,4.81062126159668,Community 4,3,3,0,0.017281368374824524,0.66237586736679077,11,0,0.012319079175516964
NEXN,-0.4084622859954834,0.48055112361907959,-0.84220880270004272,Community 27,22,22,0,0.14046263694763184,0.89212828874588013,10.5,0,0.059140692802275074
ZNF169,-0.6355060338973999,1.2101417779922485,-1.2844197750091553,Community 27,8,8,0,0.021245451644062996,0.8550989031791687,11.5,0,0.021900127520001835
HLA-E,-0.31101250648498535,-7.6507816314697266,0.967764675617218,Community 23,15,15,0,0.11075107008218765,0.838907778263092,10,0,0.044853407450111266
